ID_Seller;Flujo_Caja
10253655; 3.875.394 
10081091; 3.871.324 
10056586; 3.866.423 
10292846; 3.863.204 
10303803; 3.856.335 
10485341; 3.844.538 
10418904; 3.834.536 
10189334; 3.829.875 
10282787; 3.822.472 
10275175; 3.821.217 
10267971; 3.819.817 
10120782; 3.807.282 
10230561; 3.805.898 
10409147; 3.797.978 
10209289; 3.793.852 
62986; 3.790.824 
10327206; 3.790.149 
10257524; 3.787.844 
10241477; 3.766.761 
10303709; 3.764.162 
10201795; 3.763.248 
10304611; 3.723.201 
10134339; 3.714.433 
10205800; 3.711.208 
10060908; 3.708.649 
10163208; 3.708.394 
10068262; 3.698.424 
10291484; 3.696.681 
10269700; 3.696.107 
10163574; 3.694.362 
10274321; 3.692.969 
10295174; 3.683.953 
10344367; 3.666.690 
10271864; 3.653.799 
10406414; 3.650.771 
10160112; 3.647.658 
10328900; 3.635.185 
10011470; 3.633.040 
10111519; 3.630.061 
10178542; 3.609.670 
10026978; 3.605.993 
10257504; 3.604.038 
10195417; 3.600.274 
10220531; 3.598.573 
10370060; 3.597.164 
10289286; 3.577.439 
2187; 3.570.514 
1149; 3.567.554 
10149350; 3.562.802 
10278603; 3.557.352 
10077010; 3.553.246 
10203261; 3.543.907 
10269808; 3.542.579 
10049836; 3.535.927 
10260606; 3.529.762 
10206317; 3.527.400 
10286620; 3.526.034 
10299098; 3.519.334 
10353654; 3.507.847 
10179677; 3.494.847 
10340076; 3.489.139 
10336141; 3.485.837 
10246369; 3.474.790 
10221775; 3.469.889 
10245770; 3.467.513 
10022536; 3.467.461 
10301124; 3.466.592 
10057041; 3.466.345 
10130928; 3.463.302 
10266417; 3.451.303 
10061121; 3.444.980 
20419; 3.444.386 
10240879; 3.443.924 
10267746; 3.432.372 
10313263; 3.412.731 
10292152; 3.412.488 
10157635; 3.412.112 
10026259; 3.411.184 
10013727; 3.410.264 
10051584; 3.393.333 
10221475; 3.386.336 
10255091; 3.381.943 
10020027; 3.379.726 
10243099; 3.376.760 
10293029; 3.369.640 
10344374; 3.365.786 
10286770; 3.365.331 
10208618; 3.364.663 
10179272; 3.351.833 
10343042; 3.347.506 
114514; 3.340.441 
10074857; 3.336.222 
10175404; 3.332.730 
10203716; 3.329.277 
43703; 3.328.144 
10303384; 3.326.973 
10331514; 3.320.847 
10259233; 3.300.401 
10091060; 3.299.752 
10369695; 3.297.157 
10370276; 3.288.394 
10266742; 3.286.000 
10080476; 3.283.736 
10323959; 3.276.906 
10345495; 3.270.147 
10260636; 3.269.947 
10387587; 3.267.979 
10353991; 3.263.366 
10058571; 3.252.024 
10281673; 3.247.289 
10489104; 3.246.503 
10200836; 3.227.578 
15719; 3.224.317 
10208356; 3.222.265 
10314936; 3.219.684 
10255972; 3.214.117 
10352462; 3.209.365 
10352820; 3.205.516 
10259501; 3.204.310 
10466412; 3.196.932 
10330485; 3.196.684 
10277125; 3.190.095 
10198731; 3.182.513 
117256; 3.181.482 
7358; 3.178.017 
10243842; 3.176.429 
10260952; 3.175.934 
10209978; 3.174.223 
10206920; 3.167.300 
7987; 3.158.116 
10036345; 3.149.098 
10220131; 3.148.405 
10382091; 3.143.285 
10138774; 3.142.457 
10040540; 3.138.050 
10226395; 3.137.500 
10097486; 3.136.168 
10290383; 3.133.875 
10256931; 3.131.251 
10098535; 3.126.896 
10211405; 3.109.293 
10156913; 3.102.640 
10375653; 3.101.263 
10138330; 3.101.213 
10100037; 3.100.739 
10297379; 3.092.600 
10240323; 3.084.959 
10299672; 3.084.422 
10124176; 3.081.378 
10194959; 3.075.284 
10136171; 3.074.073 
10382620; 3.068.690 
10382284; 3.053.442 
10158792; 3.050.599 
10002417; 3.048.190 
89311; 3.044.052 
10088482; 3.039.502 
10161638; 3.038.601 
10043072; 3.037.162 
10301123; 3.030.973 
10389564; 3.029.151 
10305893; 3.028.486 
10283447; 3.022.371 
10280224; 3.015.664 
10249261; 3.012.661 
10416263; 3.012.192 
10360691; 3.011.639 
10099445; 3.003.509 
10294321; 2.997.228 
22020; 2.988.493 
10037786; 2.985.539 
10151701; 2.984.407 
10181388; 2.984.045 
10093844; 2.980.003 
10377435; 2.974.985 
10086767; 2.973.819 
10126803; 2.973.755 
10218827; 2.973.297 
10280173; 2.973.112 
10081039; 2.954.786 
10297384; 2.952.217 
10245832; 2.949.541 
10180893; 2.941.750 
10372630; 2.940.583 
10128971; 2.935.143 
10091088; 2.933.394 
10204867; 2.930.158 
10347819; 2.929.643 
10185590; 2.926.083 
10280904; 2.925.408 
10346794; 2.924.771 
10267395; 2.924.707 
10314762; 2.917.683 
10277235; 2.912.550 
10344584; 2.912.470 
10181167; 2.908.284 
10310176; 2.899.161 
10047900; 2.897.368 
10294845; 2.894.940 
10331598; 2.891.234 
10006075; 2.889.693 
10175654; 2.887.227 
10373253; 2.885.348 
10528096; 2.883.587 
10284860; 2.882.417 
10291184; 2.879.102 
10370867; 2.877.252 
10024344; 2.872.962 
10209071; 2.866.145 
10305162; 2.862.125 
10169746; 2.860.836 
10366747; 2.858.703 
10358354; 2.858.357 
10364711; 2.857.428 
10070092; 2.847.521 
10200900; 2.846.833 
10355517; 2.844.836 
2370; 2.836.766 
10412990; 2.835.316 
10377243; 2.834.426 
69576; 2.832.461 
10140704; 2.831.791 
10296173; 2.829.498 
10187342; 2.829.090 
10294631; 2.825.302 
10136816; 2.825.268 
10222439; 2.823.634 
10344355; 2.818.597 
10131034; 2.816.339 
10424544; 2.814.531 
10199873; 2.813.353 
10134321; 2.809.430 
10239128; 2.808.944 
