ID_Seller;Flujo_Caja
10205800;3711208
10060908;3708649
10163208;3708394
10068262;3698424
10291484;3696681
10269700;3696107
10163574;3694362
10274321;3692969
10295174;3683953
10344367;3666690
10271864;3653799
10406414;3650771
10160112;3647658
10328900;3635185
10011470;3633040
10111519;3630061
10178542;3609670
10026978;3605993
10257504;3604038
10195417;3600274
10220531;3598573
10370060;3597164
10289286;3577439
2187;3570514
1149;3567554
10149350;3562802
10278603;3557352
10077010;3553246
10203261;3543907
10269808;3542579
10049836;3535927
10260606;3529762
10206317;3527400
10286620;3526034
10299098;3519334
10353654;3507847
10179677;3494847
10340076;3489139
10336141;3485837
10246369;3474790
10221775;3469889
10245770;3467513
10022536;3467461
10301124;3466592
10057041;3466345
10130928;3463302
10266417;3451303
10061121;3444980
20419;3444386
10240879;3443924
10267746;3432372
10313263;3412731
10292152;3412488
10157635;3412112
10026259;3411184
10013727;3410264
10051584;3393333
10221475;3386336
10255091;3381943
10020027;3379726
10243099;3376760
10293029;3369640
10344374;3365786
10286770;3365331
10208618;3364663
10179272;3351833
10343042;3347506
114514;3340441
10074857;3336222
10175404;3332730
10203716;3329277
43703;3328144
10303384;3326973
10331514;3320847
10259233;3300401
10091060;3299752
10369695;3297157
10370276;3288394
10266742;3286000
10080476;3283736
10323959;3276906
10345495;3270147
10260636;3269947
10387587;3267979
10353991;3263366
10058571;3252024
10281673;3247289
10489104;3246503
10200836;3227578
15719;3224317
10208356;3222265
10314936;3219684
10255972;3214117
10352462;3209365
10352820;3205516
10259501;3204310
10466412;3196932
10330485;3196684
10277125;3190095
10198731;3182513
117256;3181482
7358;3178017
10243842;3176429
10260952;3175934
10209978;3174223
10206920;3167300
7987;3158116
10036345;3149098
10220131;3148405
10382091;3143285
10138774;3142457
10040540;3138050
10226395;3137500
10097486;3136168
10290383;3133875
10256931;3131251
10098535;3126896
10211405;3109293
10156913;3102640
10375653;3101263
10138330;3101213
10100037;3100739
10297379;3092600
10240323;3084959
10299672;3084422
10124176;3081378
10194959;3075284
10136171;3074073
10382620;3068690
10382284;3053442
10158792;3050599
10002417;3048190
89311;3044052
10088482;3039502
10161638;3038601
10043072;3037162
10301123;3030973
10389564;3029151
10305893;3028486
10283447;3022371
10280224;3015664
10249261;3012661
10416263;3012192
10360691;3011639
10099445;3003509
10294321;2997228
22020;2988493
10037786;2985539
10151701;2984407
10181388;2984045
10093844;2980003
10377435;2974985
10086767;2973819
10126803;2973755
10218827;2973297
10280173;2973112
10081039;2954786
10297384;2952217
10245832;2949541
10180893;2941750
10372630;2940583
10128971;2935143
10091088;2933394
10204867;2930158
10347819;2929643
10185590;2926083
10280904;2925408
10346794;2924771
10267395;2924707
10314762;2917683
10277235;2912550
10344584;2912470
10181167;2908284
10310176;2899161
10047900;2897368
10294845;2894940
10331598;2891234
10006075;2889693
10175654;2887227
10373253;2885348
10528096;2883587
10284860;2882417
10291184;2879102
10370867;2877252
10024344;2872962
10209071;2866145
10305162;2862125
10169746;2860836
10366747;2858703
10358354;2858357
10364711;2857428
10070092;2847521
10200900;2846833
10355517;2844836
2370;2836766
10412990;2835316
10377243;2834426
69576;2832461
10140704;2831791
10296173;2829498
10187342;2829090
10294631;2825302
10136816;2825268
10222439;2823634
10344355;2818597
10131034;2816339
10424544;2814531
10199873;2813353
10134321;2809430
10239128;2808944
10307861;2808796
10248238;2808637
10362986;2807855
10283869;2807838
10117128;2807389
10254291;2806617
10146051;2798202
10188838;2797739
10285256;2797627
10311920;2793707
10224630;2792329
10187573;2786382
10291878;2785934
10221491;2784777
10032952;2777418
10286969;2777029
10279811;2776894
10308253;2776456
10336186;2774036
10098203;2771000
10379145;2768168
10288617;2761079
10087606;2757059
10266853;2753947
10140884;2750879
10212742;2740995
10042284;2735924
10056129;2733767
10290998;2727562
10071010;2724756
10323003;2720665
10361967;2717087
10324684;2716544
10362125;2715706
10235786;2705962
10018750;2704698
10283499;2704139
10144216;2703393
8431;2695524
10245901;2694659
10095910;2687028
10087526;2686200
10341810;2679565
10361196;2665072
10183952;2662576
10155827;2661729
12972;2659351
10341425;2658916
10175628;2654350
10072921;2640544
10297810;2619343
10269771;2616103
10228487;2615032
10362326;2615025
10227032;2610473
142854;2608756
10358487;2607943
10279881;2604917
10420755;2604852
10383271;2604714
10092678;2603033
10240609;2603026
10282197;2601421
10019867;2599675
10312685;2599648
10381394;2599585
10134511;2598368
13157;2595351
10383339;2594404
10074178;2593741
10375159;2588662
10406791;2587468
10192383;2585729
10169289;2584186
10285899;2563329
10341914;2561219
10162687;2560471
10168023;2559456
139413;2552182
109783;2550194
8963;2546828
10262647;2539430
10411078;2538464
1512;2535741
10297850;2535543
10275342;2531821
458;2530140
10296225;2529360
10160937;2524346
10162235;2514686
10392606;2513597
10323609;2512513
10344118;2510090
10031399;2509883
42878;2508937
10359523;2508857
10093225;2505674
10404916;2505637
10304878;2504809
10476670;2501853
10297231;2500442
10237126;2489753
10353220;2484340
10215024;2483692
10056744;2483041
10176677;2477867
10059911;2477407
10015399;2476007
10197594;2474752
10307261;2472410
10153887;2472230
10229286;2468113
10262450;2466893
10264762;2466837
10051878;2460641
10432119;2449412
13066;2446669
10253275;2445449
138956;2445247
10301767;2444396
10124602;2441255
10307331;2439084
10174728;2435455
10171410;2434040
10351541;2431134
10341665;2430845
10078112;2428519
10296407;2428283
10234910;2426241
10372511;2425628
10386688;2422107
10242450;2418261
10300502;2417244
10344396;2414656
10299438;2413144
10311557;2410638
10233540;2402250
10353113;2398791
10372772;2397566
10079663;2395905
10014344;2395756
10345459;2391276
10251216;2389056
10297444;2387311
10082017;2379047
10302312;2378710
10189310;2377331
10223764;2374587
10268647;2373133
10372293;2372110
26879;2371679
10416993;2369621
10277202;2364581
10351865;2356430
10052818;2353725
10341148;2353282
86470;2352132
10199148;2349753
10185626;2343317
10112484;2343212
10331033;2341303
10384644;2341044
10379019;2336438
10348098;2336432
10345524;2336384
10282940;2332798
10389378;2332088
10143463;2327610
10228595;2323185
10235567;2321151
10473070;2318994
139158;2318070
10175927;2315621
10154778;2315325
10392957;2308608
10313657;2307780
10231162;2306601
10261893;2305647
10294036;2305197
10365554;2304211
109631;2301610
10208156;2295237
146758;2294901
10367131;2294027
